,lat_x,lng_x,distance
322,1.29336165,103.80008294580566,0.6799397784515544 km
323,1.29337585,103.80949216944458,0.4016556222102821 km
324,1.2934812999999998,103.80480784074145,0.18423402747629963 km
325,1.2935549,103.8053235,0.13843076955912417 km
326,1.2936254,103.82858657614555,0.8404449281786837 km
327,1.29368015,103.8399654488976,0.5036281692968144 km
328,1.2937092,103.8226002,0.7925974713284755 km
329,1.2937216500000002,103.81210258382715,0.6768169503628736 km
330,1.2937442,103.8466319,0.29160247650059123 km
331,1.2938117,103.80781216400966,0.20967664003259162 km
332,1.29381695,103.83733801576616,0.738958557759649 km
333,1.2938177,103.8036648294842,0.28044371320688244 km
334,1.29384705,103.8087650119328,0.3090923747498042 km
335,1.2938599000000002,103.8116368240566,0.6234417744196706 km
336,1.2939463999999998,103.80518451382704,0.11973427286126262 km
337,1.2940192499999998,103.80822458251312,0.24611266860505057 km
338,1.2940433,103.83955972394398,0.5584015509010142 km
339,1.29410615,103.83673469533848,0.7294629908316825 km
340,1.2941316,103.85590120534604,0.10523012790379743 km
341,1.2943486,103.83275702714526,0.9612211791782919 km
342,1.29436855,103.8284376,0.9179074455598061 km
343,1.2943763,103.80448307932464,0.17845366219095618 km
344,1.29438085,103.8114222239035,0.5951563454371992 km
345,1.2944348,103.80560841940648,0.05372143507050299 km
346,1.2944632,103.84035048155911,0.49424362168868985 km
347,1.29453905,103.80681011274731,0.08158212596369395 km
348,1.2945391,103.8223498,0.8268954246882283 km
349,1.2946685,103.8500737,0.2513503749966011 km
350,1.29469995,103.80922688808316,0.35092515209618136 km
351,1.2947585,103.8210588,0.7429203402177222 km
352,1.2948266,103.8275846612022,0.9361911802813124 km
353,1.29486925,103.8049261955866,0.13284215617145972 km
354,1.29492295,103.8390237,0.5906446606772802 km
355,1.2949669,103.80349801615912,0.29069900855786585 km
356,1.2950553,103.8115992867076,0.6170910036665802 km
357,1.2950652,103.80526283214871,0.10699496900782718 km
358,1.2951175,103.81113414168578,0.5662753900367373 km
359,1.2951307,103.8534677,0.2424331549249754 km
360,1.2951462,103.8344615796528,0.7649230086455099 km
361,1.2952298,103.8400656,0.5636496545932862 km
362,1.29526985,103.83117153791636,1.0395923818258626 km
363,1.29532145,103.81258035967662,0.7287483296887043 km
364,1.2953595,103.83860970073243,0.5449145172726438 km
365,1.29538715,103.81217804113794,0.685243451104184 km
366,1.295539,103.828318,0.9080225403084751 km
367,1.29558695,103.82941924708668,0.9761465153349221 km
368,1.2956017,103.80627302529234,0.11822438391272158 km
369,1.2956737,103.80427748460718,0.2356492012438145 km
370,1.29573475,103.82753116524457,0.8443743781827303 km
371,1.2957434,103.8104373980855,0.5028545694603188 km
372,1.2957684,103.76619301679278,2.06037626033654 km
373,1.2958109,103.8099501147002,0.4529861867228157 km
374,1.29587985,103.80946052594598,0.4041996469507995 km
375,1.2960024,103.8271273,0.7971525891460084 km
376,1.29602935,103.87249047276028,0.8142305540687931 km
377,1.2960441500000002,103.84238863079612,0.44932797080706277 km
378,1.2960917,103.8108346,0.5562003544564934 km
379,1.2961475999999998,103.83689773266792,0.516229226729049 km
380,1.2962126500000002,103.82810758798588,0.8330794455060394 km
381,1.29625775,103.8291603425089,0.9008174576674114 km
382,1.2962587,103.825725,0.7121623304936997 km
383,1.2962878,103.83628768302292,0.5387894950757336 km
384,1.2963047,103.8321904,0.8835008917383832 km
385,1.29636395,103.857202171856,0.38113120937341605 km
386,1.2963944,103.89101386970906,1.3612754611200266 km
387,1.2964944,103.83790782570462,0.43696925004413917 km
388,1.2965058,103.83878962721828,0.41688558381315516 km
389,1.29655305,103.80417322110677,0.30645170490787776 km
390,1.2966831,103.80429288997462,0.30825347271741216 km
391,1.2967166,103.89275353684867,1.3711541530036848 km
392,1.29675705,103.83813883288562,0.4018628880817604 km
393,1.2968006,103.8539024310368,0.3600968974098496 km
394,1.29682065,103.88925490612824,1.2792613044757943 km
395,1.296881,103.88363722931786,1.0380232433196226 km
396,1.2969291,103.8357946,0.5197622567604148 km
397,1.2970966,103.8709598,0.7980282305237116 km
398,1.2971381000000002,103.8389530409632,0.3459798192088288 km
399,1.2971449,103.7663721,1.9915189637342279 km
